ID,Positively charged,Polarity,Non polarity,Cyclic,Aromaticity,Basicity,Hydrophobicity,Hydrophilicity,Small
Seq_14390,0.118,0.176,0.471,0.059,0.0,0.118,0.353,0.235,0.588
Seq_14391,0.118,0.176,0.471,0.0,0.0,0.118,0.294,0.176,0.588
Seq_14392,0.118,0.235,0.471,0.0,0.0,0.118,0.294,0.176,0.529
Seq_14393,0.176,0.176,0.471,0.0,0.0,0.176,0.294,0.235,0.529
Seq_14394,0.176,0.235,0.412,0.0,0.0,0.176,0.235,0.235,0.529
Seq_14395,0.235,0.235,0.412,0.0,0.0,0.235,0.235,0.235,0.471
Seq_14396,0.235,0.176,0.471,0.0,0.0,0.235,0.235,0.235,0.412
Seq_14397,0.235,0.176,0.529,0.0,0.0,0.235,0.294,0.235,0.471
Seq_14398,0.235,0.176,0.529,0.0,0.0,0.235,0.294,0.235,0.412
Seq_14399,0.235,0.176,0.529,0.0,0.0,0.235,0.353,0.235,0.412
Seq_14400,0.294,0.176,0.529,0.0,0.0,0.294,0.353,0.294,0.412
Seq_14401,0.235,0.176,0.588,0.0,0.0,0.235,0.412,0.235,0.471
Seq_14402,0.235,0.176,0.588,0.0,0.059,0.235,0.471,0.235,0.412
Seq_14403,0.235,0.176,0.588,0.0,0.059,0.235,0.471,0.235,0.353
Seq_14404,0.235,0.176,0.588,0.0,0.059,0.235,0.471,0.235,0.353
Seq_14405,0.235,0.176,0.529,0.0,0.059,0.235,0.412,0.294,0.412
Seq_14406,0.235,0.118,0.588,0.059,0.059,0.235,0.471,0.353,0.412
Seq_14407,0.294,0.118,0.529,0.059,0.059,0.294,0.471,0.412,0.353
Seq_14408,0.294,0.118,0.529,0.059,0.059,0.294,0.529,0.412,0.294
Seq_14409,0.294,0.059,0.588,0.059,0.059,0.294,0.588,0.412,0.294
Seq_14410,0.235,0.059,0.647,0.059,0.059,0.235,0.647,0.353,0.294
Seq_14411,0.235,0.0,0.706,0.059,0.059,0.235,0.706,0.353,0.294
Seq_14412,0.176,0.0,0.706,0.059,0.059,0.176,0.706,0.294,0.353
Seq_14413,0.176,0.0,0.647,0.059,0.059,0.176,0.647,0.294,0.353
Seq_14414,0.176,0.0,0.647,0.059,0.059,0.176,0.647,0.294,0.353
Seq_14415,0.176,0.059,0.588,0.059,0.059,0.176,0.647,0.294,0.412
Seq_14416,0.176,0.059,0.588,0.059,0.059,0.176,0.647,0.294,0.412
Seq_14417,0.118,0.118,0.588,0.059,0.059,0.118,0.647,0.235,0.471
Seq_14418,0.118,0.118,0.588,0.059,0.059,0.118,0.647,0.235,0.412
Seq_14419,0.118,0.118,0.529,0.059,0.0,0.118,0.588,0.235,0.471
Seq_14420,0.118,0.176,0.471,0.059,0.0,0.118,0.529,0.235,0.529
Seq_14421,0.059,0.176,0.471,0.059,0.0,0.059,0.529,0.176,0.529
Seq_14422,0.059,0.235,0.471,0.059,0.0,0.059,0.529,0.118,0.529
Seq_14423,0.059,0.235,0.412,0.0,0.0,0.059,0.471,0.059,0.471
Seq_14424,0.0,0.294,0.412,0.0,0.0,0.0,0.471,0.0,0.529
Seq_14425,0.0,0.294,0.412,0.0,0.0,0.0,0.471,0.0,0.529
Seq_14426,0.0,0.294,0.412,0.0,0.0,0.0,0.471,0.0,0.588
Seq_14427,0.0,0.353,0.353,0.0,0.0,0.0,0.412,0.0,0.588
Seq_14428,0.059,0.353,0.294,0.0,0.0,0.059,0.353,0.059,0.588
Seq_14429,0.059,0.353,0.353,0.0,0.0,0.059,0.412,0.059,0.588
Seq_14430,0.059,0.353,0.412,0.0,0.0,0.059,0.471,0.059,0.588
Seq_14431,0.059,0.353,0.353,0.0,0.0,0.059,0.412,0.059,0.588
Seq_14432,0.059,0.353,0.353,0.0,0.0,0.059,0.353,0.059,0.588
Seq_14433,0.059,0.353,0.353,0.0,0.0,0.059,0.353,0.059,0.529
Seq_14434,0.059,0.294,0.412,0.0,0.0,0.059,0.412,0.059,0.471
Seq_14435,0.118,0.294,0.353,0.0,0.0,0.118,0.353,0.118,0.471
Seq_14436,0.118,0.294,0.412,0.0,0.0,0.118,0.353,0.118,0.471
Seq_14437,0.176,0.235,0.412,0.0,0.0,0.176,0.353,0.176,0.412
Seq_14438,0.176,0.294,0.412,0.0,0.0,0.176,0.412,0.176,0.471
Seq_14439,0.176,0.294,0.412,0.0,0.0,0.176,0.471,0.176,0.471
Seq_14440,0.176,0.294,0.471,0.0,0.0,0.176,0.529,0.176,0.471
Seq_14441,0.176,0.235,0.529,0.0,0.0,0.176,0.588,0.176,0.471
Seq_14442,0.176,0.235,0.529,0.0,0.0,0.176,0.588,0.176,0.471
Seq_14443,0.176,0.235,0.529,0.0,0.0,0.176,0.588,0.176,0.471
Seq_14444,0.235,0.176,0.529,0.0,0.0,0.235,0.588,0.235,0.471
Seq_14445,0.235,0.176,0.529,0.0,0.0,0.235,0.588,0.235,0.471
Seq_14446,0.235,0.176,0.529,0.0,0.0,0.235,0.588,0.235,0.412
Seq_14447,0.235,0.235,0.471,0.0,0.0,0.235,0.529,0.235,0.471
Seq_14448,0.235,0.294,0.471,0.0,0.0,0.235,0.588,0.235,0.471
Seq_14449,0.235,0.235,0.529,0.0,0.0,0.235,0.647,0.235,0.412
Seq_14450,0.235,0.235,0.529,0.0,0.0,0.235,0.647,0.235,0.471
Seq_14451,0.235,0.235,0.471,0.0,0.0,0.235,0.588,0.235,0.529
Seq_14452,0.176,0.235,0.529,0.0,0.0,0.176,0.647,0.176,0.588
Seq_14453,0.176,0.235,0.471,0.0,0.0,0.176,0.647,0.176,0.588
Seq_14454,0.176,0.235,0.471,0.0,0.0,0.176,0.647,0.176,0.588
Seq_14455,0.176,0.176,0.529,0.0,0.0,0.176,0.647,0.176,0.529
Seq_14456,0.176,0.176,0.529,0.0,0.059,0.176,0.588,0.176,0.471
Seq_14457,0.176,0.176,0.529,0.0,0.118,0.176,0.588,0.176,0.471
Seq_14458,0.176,0.176,0.529,0.0,0.118,0.176,0.588,0.176,0.412
Seq_14459,0.176,0.176,0.471,0.0,0.118,0.176,0.529,0.176,0.412
Seq_14460,0.235,0.176,0.412,0.0,0.118,0.235,0.471,0.235,0.353
Seq_14461,0.176,0.176,0.471,0.0,0.118,0.176,0.471,0.176,0.412
Seq_14462,0.118,0.235,0.471,0.0,0.118,0.118,0.471,0.118,0.412
Seq_14463,0.118,0.235,0.471,0.0,0.118,0.118,0.471,0.118,0.412
Seq_14464,0.118,0.235,0.471,0.0,0.118,0.118,0.529,0.118,0.412
Seq_14465,0.118,0.176,0.529,0.0,0.118,0.118,0.471,0.118,0.412
Seq_14466,0.118,0.235,0.471,0.0,0.118,0.118,0.412,0.118,0.471
Seq_14467,0.118,0.235,0.471,0.0,0.118,0.118,0.353,0.118,0.471
Seq_14468,0.176,0.235,0.471,0.0,0.118,0.176,0.353,0.176,0.412
Seq_14469,0.235,0.235,0.412,0.0,0.118,0.235,0.294,0.235,0.353
Seq_14470,0.235,0.235,0.412,0.0,0.118,0.235,0.294,0.294,0.353
Seq_14471,0.176,0.235,0.412,0.0,0.118,0.176,0.294,0.235,0.353
Seq_14472,0.176,0.235,0.412,0.0,0.118,0.176,0.294,0.235,0.353
Seq_14473,0.176,0.176,0.471,0.0,0.059,0.176,0.353,0.235,0.412
Seq_14474,0.176,0.176,0.471,0.0,0.0,0.176,0.353,0.235,0.471
Seq_14475,0.176,0.235,0.412,0.0,0.0,0.176,0.353,0.235,0.529
Seq_14476,0.235,0.235,0.412,0.0,0.0,0.235,0.353,0.294,0.529
Seq_14477,0.176,0.235,0.471,0.059,0.0,0.176,0.412,0.294,0.588
Seq_14478,0.176,0.235,0.471,0.059,0.0,0.176,0.471,0.294,0.529
Seq_14479,0.176,0.235,0.471,0.059,0.059,0.176,0.471,0.294,0.529
Seq_14480,0.176,0.235,0.471,0.059,0.059,0.176,0.471,0.294,0.588
Seq_14481,0.235,0.176,0.471,0.059,0.059,0.235,0.412,0.353,0.529
Seq_14482,0.235,0.235,0.412,0.059,0.118,0.235,0.412,0.353,0.471
Seq_14483,0.235,0.176,0.471,0.059,0.118,0.235,0.471,0.353,0.471
Seq_14484,0.235,0.235,0.412,0.059,0.118,0.235,0.471,0.353,0.471
Seq_14485,0.176,0.235,0.412,0.059,0.118,0.176,0.471,0.294,0.471
Seq_14486,0.118,0.294,0.412,0.059,0.118,0.118,0.471,0.235,0.471
Seq_14487,0.118,0.294,0.471,0.059,0.118,0.118,0.529,0.176,0.412
Seq_14488,0.118,0.353,0.471,0.059,0.118,0.118,0.588,0.176,0.471
Seq_14489,0.118,0.353,0.471,0.059,0.118,0.118,0.588,0.176,0.529
Seq_14490,0.118,0.353,0.471,0.059,0.118,0.118,0.529,0.176,0.529
Seq_14491,0.0,0.0,0.882,0.0,0.118,0.0,0.882,0.0,0.706
Seq_14492,0.0,0.059,0.824,0.0,0.176,0.0,0.824,0.0,0.647
Seq_14493,0.0,0.059,0.824,0.0,0.235,0.0,0.824,0.0,0.588
Seq_14494,0.0,0.118,0.765,0.0,0.294,0.0,0.765,0.0,0.529
Seq_14495,0.0,0.118,0.765,0.0,0.294,0.0,0.765,0.0,0.529
Seq_14496,0.0,0.176,0.706,0.0,0.294,0.0,0.706,0.0,0.471
Seq_14497,0.0,0.176,0.706,0.0,0.294,0.0,0.706,0.0,0.471
Seq_14498,0.0,0.176,0.647,0.0,0.294,0.0,0.647,0.0,0.412
Seq_14499,0.0,0.176,0.588,0.0,0.294,0.0,0.588,0.0,0.353
Seq_14500,0.0,0.176,0.588,0.0,0.294,0.0,0.588,0.0,0.412
Seq_14501,0.0,0.176,0.588,0.0,0.294,0.0,0.588,0.0,0.412
Seq_14502,0.0,0.176,0.529,0.0,0.294,0.0,0.529,0.059,0.412
Seq_14503,0.0,0.176,0.529,0.059,0.294,0.0,0.529,0.118,0.471
Seq_14504,0.0,0.235,0.471,0.059,0.235,0.0,0.471,0.118,0.529
Seq_14505,0.0,0.235,0.471,0.059,0.235,0.0,0.471,0.118,0.471
Seq_14506,0.059,0.235,0.471,0.059,0.235,0.059,0.471,0.176,0.412
Seq_14507,0.059,0.235,0.471,0.059,0.176,0.059,0.412,0.176,0.471
Seq_14508,0.118,0.235,0.471,0.059,0.176,0.118,0.412,0.235,0.412
Seq_14509,0.118,0.176,0.529,0.118,0.118,0.118,0.471,0.294,0.471
Seq_14510,0.118,0.176,0.529,0.118,0.059,0.118,0.471,0.294,0.529
Seq_14511,0.118,0.118,0.588,0.118,0.0,0.118,0.529,0.294,0.588
Seq_14512,0.118,0.118,0.588,0.118,0.0,0.118,0.529,0.294,0.588
Seq_14513,0.118,0.118,0.588,0.118,0.0,0.118,0.588,0.294,0.647
Seq_14514,0.118,0.118,0.588,0.118,0.0,0.118,0.588,0.294,0.647
Seq_14515,0.118,0.118,0.647,0.118,0.059,0.118,0.647,0.294,0.647
Seq_14516,0.118,0.176,0.647,0.118,0.059,0.118,0.647,0.294,0.706
Seq_14517,0.118,0.176,0.647,0.118,0.059,0.118,0.588,0.294,0.706
Seq_14518,0.176,0.176,0.588,0.118,0.059,0.176,0.529,0.353,0.706
Seq_14519,0.176,0.176,0.647,0.118,0.118,0.176,0.588,0.294,0.647
Seq_14520,0.176,0.176,0.588,0.059,0.118,0.176,0.529,0.235,0.588
Seq_14521,0.176,0.118,0.588,0.059,0.118,0.176,0.529,0.235,0.588
Seq_14522,0.176,0.176,0.529,0.059,0.118,0.176,0.471,0.235,0.647
Seq_14523,0.118,0.176,0.588,0.059,0.118,0.118,0.471,0.176,0.706
Seq_14524,0.118,0.176,0.588,0.059,0.118,0.118,0.529,0.176,0.706
Seq_14525,0.059,0.176,0.647,0.059,0.118,0.059,0.588,0.118,0.765
Seq_14526,0.059,0.176,0.647,0.0,0.118,0.059,0.588,0.059,0.765
Seq_14527,0.059,0.235,0.588,0.0,0.118,0.059,0.588,0.059,0.765
Seq_14528,0.059,0.235,0.588,0.0,0.118,0.059,0.588,0.059,0.765
Seq_14529,0.059,0.235,0.529,0.0,0.118,0.059,0.529,0.118,0.765
Seq_14530,0.059,0.235,0.529,0.0,0.176,0.059,0.471,0.118,0.706
Seq_14531,0.059,0.235,0.471,0.0,0.176,0.059,0.412,0.118,0.647
Seq_14532,0.059,0.235,0.471,0.0,0.118,0.059,0.412,0.118,0.706
Seq_14533,0.118,0.176,0.471,0.0,0.118,0.118,0.412,0.176,0.647
Seq_14534,0.176,0.176,0.412,0.0,0.118,0.176,0.412,0.235,0.588
Seq_14535,0.118,0.176,0.471,0.0,0.176,0.118,0.471,0.176,0.588
Seq_14536,0.118,0.176,0.471,0.0,0.118,0.118,0.412,0.176,0.647
Seq_14537,0.118,0.176,0.529,0.0,0.118,0.118,0.471,0.176,0.706
Seq_14538,0.176,0.176,0.529,0.0,0.118,0.176,0.471,0.235,0.647
Seq_14539,0.176,0.118,0.588,0.0,0.118,0.176,0.529,0.235,0.647
Seq_14540,0.176,0.118,0.588,0.0,0.118,0.176,0.529,0.235,0.647
Seq_14541,0.176,0.118,0.588,0.0,0.118,0.176,0.529,0.235,0.588
Seq_14542,0.176,0.118,0.588,0.059,0.118,0.176,0.529,0.294,0.588
Seq_14543,0.176,0.118,0.588,0.059,0.118,0.176,0.529,0.294,0.529
Seq_14544,0.176,0.059,0.647,0.059,0.118,0.176,0.529,0.294,0.529
Seq_14545,0.176,0.059,0.588,0.059,0.118,0.176,0.471,0.294,0.471
Seq_14546,0.176,0.059,0.647,0.059,0.118,0.176,0.529,0.235,0.471
Seq_14547,0.235,0.0,0.647,0.059,0.059,0.235,0.529,0.294,0.471
Seq_14548,0.294,0.0,0.647,0.059,0.059,0.294,0.529,0.353,0.471
Seq_14549,0.294,0.0,0.647,0.059,0.059,0.294,0.529,0.353,0.412
Seq_14550,0.235,0.0,0.706,0.059,0.059,0.235,0.588,0.294,0.412
Seq_14551,0.176,0.0,0.765,0.118,0.059,0.176,0.647,0.294,0.471
Seq_14552,0.176,0.0,0.706,0.118,0.0,0.176,0.588,0.353,0.529
Seq_14553,0.176,0.0,0.706,0.118,0.0,0.176,0.647,0.353,0.529
Seq_14554,0.176,0.0,0.706,0.118,0.0,0.176,0.647,0.353,0.529
Seq_14555,0.118,0.059,0.706,0.118,0.059,0.118,0.647,0.294,0.529
Seq_14556,0.118,0.059,0.706,0.118,0.059,0.118,0.647,0.294,0.471
Seq_14557,0.118,0.059,0.706,0.176,0.059,0.118,0.706,0.353,0.471
Seq_14558,0.118,0.059,0.706,0.176,0.059,0.118,0.706,0.353,0.471
Seq_14559,0.176,0.059,0.647,0.118,0.059,0.176,0.647,0.353,0.412
Seq_14560,0.235,0.059,0.588,0.118,0.059,0.235,0.588,0.412,0.412
Seq_14561,0.235,0.059,0.529,0.118,0.059,0.235,0.529,0.412,0.353
Seq_14562,0.235,0.059,0.588,0.118,0.059,0.235,0.588,0.412,0.412
Seq_14563,0.235,0.118,0.529,0.118,0.118,0.235,0.529,0.412,0.353
Seq_14564,0.176,0.176,0.529,0.118,0.118,0.176,0.529,0.353,0.353
Seq_14565,0.118,0.235,0.529,0.118,0.118,0.118,0.529,0.294,0.353
Seq_14566,0.118,0.235,0.529,0.118,0.118,0.118,0.529,0.294,0.412
Seq_14567,0.118,0.294,0.471,0.118,0.118,0.118,0.471,0.294,0.471
Seq_14568,0.118,0.353,0.412,0.059,0.118,0.118,0.412,0.235,0.471
Seq_14569,0.176,0.353,0.412,0.059,0.118,0.176,0.412,0.235,0.412
Seq_14570,0.176,0.353,0.412,0.059,0.118,0.176,0.412,0.235,0.353
Seq_14571,0.176,0.353,0.412,0.059,0.118,0.176,0.412,0.235,0.294
Seq_14572,0.176,0.294,0.412,0.059,0.059,0.176,0.412,0.294,0.353
Seq_14573,0.176,0.294,0.412,0.059,0.059,0.176,0.412,0.294,0.353
Seq_14574,0.176,0.294,0.412,0.0,0.059,0.176,0.412,0.235,0.294
Seq_14575,0.235,0.294,0.353,0.0,0.059,0.235,0.353,0.294,0.294
Seq_14576,0.176,0.294,0.353,0.0,0.059,0.176,0.353,0.235,0.294
Seq_14577,0.118,0.353,0.353,0.0,0.118,0.118,0.353,0.176,0.294
Seq_14578,0.118,0.412,0.353,0.0,0.118,0.118,0.353,0.176,0.353
Seq_14579,0.118,0.412,0.294,0.0,0.118,0.118,0.294,0.176,0.294
Seq_14580,0.176,0.353,0.294,0.0,0.059,0.176,0.294,0.235,0.294
Seq_14581,0.176,0.294,0.353,0.0,0.059,0.176,0.353,0.235,0.294
Seq_14582,0.176,0.235,0.353,0.0,0.059,0.176,0.353,0.235,0.294
Seq_14583,0.176,0.235,0.353,0.0,0.059,0.176,0.353,0.235,0.235
Seq_14584,0.176,0.176,0.412,0.0,0.059,0.176,0.412,0.235,0.235
Seq_14585,0.176,0.176,0.412,0.0,0.059,0.176,0.412,0.235,0.235
Seq_14586,0.118,0.176,0.471,0.0,0.059,0.118,0.471,0.176,0.235
Seq_14587,0.118,0.176,0.412,0.0,0.059,0.118,0.412,0.176,0.294
Seq_14588,0.118,0.176,0.353,0.0,0.059,0.118,0.353,0.176,0.294
Seq_14589,0.118,0.176,0.412,0.0,0.059,0.118,0.412,0.118,0.294
Seq_14590,0.118,0.235,0.353,0.0,0.118,0.118,0.353,0.118,0.294
Seq_14591,0.118,0.235,0.353,0.0,0.118,0.118,0.353,0.118,0.294
Seq_14592,0.059,0.235,0.353,0.0,0.118,0.059,0.353,0.059,0.353
Seq_14593,0.059,0.235,0.412,0.0,0.118,0.059,0.412,0.059,0.353
Seq_14594,0.059,0.235,0.412,0.0,0.059,0.059,0.412,0.059,0.412
Seq_14595,0.059,0.176,0.412,0.0,0.059,0.059,0.412,0.059,0.412
Seq_14596,0.118,0.176,0.412,0.0,0.059,0.118,0.412,0.118,0.412
Seq_14597,0.059,0.176,0.471,0.0,0.059,0.059,0.471,0.059,0.471
Seq_14598,0.118,0.176,0.412,0.0,0.059,0.118,0.412,0.118,0.471
Seq_14599,0.118,0.176,0.412,0.0,0.059,0.118,0.412,0.118,0.529
Seq_14600,0.118,0.235,0.353,0.0,0.118,0.118,0.353,0.118,0.529
Seq_14601,0.176,0.235,0.294,0.0,0.118,0.176,0.294,0.176,0.471
Seq_14602,0.176,0.176,0.294,0.0,0.118,0.176,0.294,0.176,0.412
Seq_14603,0.176,0.176,0.294,0.0,0.118,0.176,0.294,0.176,0.471
Seq_14604,0.176,0.235,0.294,0.0,0.176,0.176,0.294,0.176,0.412
Seq_14605,0.176,0.235,0.294,0.0,0.176,0.176,0.294,0.235,0.471
Seq_14606,0.176,0.235,0.294,0.0,0.176,0.176,0.294,0.235,0.412
Seq_14607,0.176,0.176,0.353,0.0,0.118,0.176,0.294,0.235,0.471
Seq_14608,0.176,0.176,0.353,0.0,0.118,0.176,0.294,0.235,0.471
Seq_14609,0.176,0.176,0.353,0.0,0.118,0.176,0.294,0.235,0.412
Seq_14610,0.176,0.176,0.353,0.0,0.118,0.176,0.294,0.235,0.412
Seq_14611,0.235,0.118,0.353,0.0,0.118,0.235,0.294,0.294,0.353
Seq_14612,0.235,0.118,0.353,0.0,0.118,0.235,0.294,0.353,0.353
Seq_14613,0.235,0.118,0.353,0.0,0.118,0.235,0.294,0.353,0.353
Seq_14614,0.235,0.118,0.353,0.0,0.118,0.235,0.294,0.353,0.294
Seq_14615,0.176,0.118,0.412,0.0,0.118,0.176,0.353,0.294,0.294
Seq_14616,0.176,0.118,0.412,0.0,0.118,0.176,0.353,0.294,0.235
Seq_14617,0.235,0.059,0.412,0.0,0.059,0.235,0.353,0.353,0.235
Seq_14618,0.176,0.059,0.412,0.0,0.059,0.176,0.353,0.294,0.235
Seq_14619,0.235,0.059,0.412,0.0,0.059,0.235,0.353,0.353,0.235
Seq_14620,0.235,0.059,0.412,0.0,0.059,0.235,0.353,0.353,0.176
Seq_14621,0.235,0.059,0.412,0.0,0.0,0.235,0.412,0.353,0.235
Seq_14622,0.235,0.059,0.471,0.0,0.0,0.235,0.471,0.294,0.235
Seq_14623,0.235,0.118,0.412,0.0,0.0,0.235,0.471,0.294,0.294
Seq_14624,0.235,0.118,0.412,0.0,0.0,0.235,0.529,0.294,0.294
Seq_14625,0.235,0.118,0.412,0.0,0.0,0.235,0.471,0.294,0.353
Seq_14626,0.235,0.118,0.471,0.0,0.0,0.235,0.529,0.294,0.353
Seq_14627,0.235,0.176,0.412,0.0,0.0,0.235,0.471,0.294,0.412
Seq_14628,0.235,0.176,0.412,0.0,0.0,0.235,0.471,0.294,0.412
Seq_14629,0.235,0.176,0.412,0.0,0.0,0.235,0.471,0.294,0.412
Seq_14630,0.235,0.176,0.412,0.0,0.0,0.235,0.471,0.294,0.412
Seq_14631,0.235,0.176,0.412,0.0,0.0,0.235,0.471,0.294,0.471
Seq_14632,0.235,0.176,0.412,0.0,0.059,0.235,0.471,0.294,0.471
Seq_14633,0.235,0.176,0.471,0.0,0.059,0.235,0.529,0.294,0.529
Seq_14634,0.235,0.176,0.471,0.0,0.059,0.235,0.529,0.294,0.529
Seq_14635,0.235,0.176,0.529,0.0,0.059,0.235,0.588,0.294,0.529
Seq_14636,0.176,0.176,0.588,0.0,0.059,0.176,0.647,0.235,0.588
Seq_14637,0.176,0.176,0.588,0.0,0.059,0.176,0.647,0.235,0.647
Seq_14638,0.176,0.118,0.588,0.0,0.059,0.176,0.588,0.235,0.647
Seq_14639,0.176,0.118,0.588,0.0,0.059,0.176,0.588,0.235,0.588
Seq_14640,0.176,0.059,0.647,0.0,0.059,0.176,0.588,0.235,0.588
Seq_14641,0.235,0.059,0.588,0.0,0.059,0.235,0.529,0.294,0.529
Seq_14642,0.235,0.059,0.588,0.059,0.059,0.235,0.588,0.353,0.529
Seq_14643,0.235,0.059,0.529,0.059,0.059,0.235,0.529,0.412,0.588
Seq_14644,0.235,0.0,0.588,0.059,0.059,0.235,0.529,0.412,0.588
Seq_14645,0.176,0.0,0.647,0.059,0.059,0.176,0.588,0.353,0.588
Seq_14646,0.235,0.0,0.647,0.059,0.059,0.235,0.588,0.353,0.529
Seq_14647,0.176,0.0,0.706,0.059,0.059,0.176,0.647,0.294,0.588
Seq_14648,0.176,0.0,0.706,0.059,0.059,0.176,0.647,0.294,0.529
Seq_14649,0.176,0.0,0.647,0.059,0.0,0.176,0.588,0.294,0.588
Seq_14650,0.176,0.0,0.588,0.059,0.0,0.176,0.529,0.294,0.588
Seq_14651,0.118,0.0,0.588,0.059,0.0,0.118,0.529,0.235,0.588
Seq_14652,0.118,0.0,0.529,0.059,0.0,0.118,0.471,0.235,0.588
Seq_14653,0.118,0.0,0.529,0.059,0.0,0.118,0.471,0.235,0.588
Seq_14654,0.176,0.0,0.471,0.059,0.0,0.176,0.412,0.294,0.529
Seq_14655,0.235,0.0,0.471,0.059,0.0,0.235,0.412,0.353,0.471
Seq_14656,0.235,0.0,0.471,0.059,0.0,0.235,0.412,0.353,0.471
Seq_14657,0.235,0.0,0.471,0.059,0.0,0.235,0.412,0.353,0.412
Seq_14658,0.235,0.0,0.471,0.059,0.0,0.235,0.412,0.353,0.412
Seq_14659,0.235,0.0,0.412,0.0,0.0,0.235,0.353,0.294,0.353
Seq_14660,0.235,0.0,0.471,0.0,0.0,0.235,0.412,0.235,0.294
Seq_14661,0.235,0.0,0.412,0.0,0.0,0.235,0.412,0.235,0.294
Seq_14662,0.235,0.0,0.412,0.0,0.0,0.235,0.412,0.235,0.294
Seq_14663,0.176,0.0,0.471,0.0,0.0,0.176,0.471,0.176,0.353
Seq_14664,0.176,0.0,0.412,0.0,0.0,0.176,0.412,0.176,0.353
Seq_14665,0.176,0.0,0.412,0.0,0.0,0.176,0.412,0.176,0.412
Seq_14666,0.176,0.0,0.471,0.059,0.0,0.176,0.471,0.235,0.412
Seq_14667,0.176,0.0,0.529,0.059,0.0,0.176,0.471,0.235,0.412
Seq_14668,0.176,0.0,0.588,0.059,0.0,0.176,0.529,0.235,0.412
Seq_14669,0.176,0.0,0.647,0.059,0.0,0.176,0.529,0.235,0.471
Seq_14670,0.176,0.0,0.588,0.059,0.0,0.176,0.471,0.294,0.471
Seq_14671,0.118,0.0,0.647,0.059,0.0,0.118,0.529,0.235,0.471
Seq_14672,0.059,0.059,0.647,0.059,0.0,0.059,0.588,0.176,0.529
Seq_14673,0.059,0.059,0.647,0.059,0.0,0.059,0.588,0.176,0.588
Seq_14674,0.059,0.059,0.588,0.059,0.0,0.059,0.529,0.176,0.588
Seq_14675,0.059,0.059,0.588,0.059,0.0,0.059,0.529,0.176,0.588
Seq_14676,0.059,0.059,0.647,0.059,0.0,0.059,0.588,0.176,0.588
Seq_14677,0.118,0.059,0.588,0.059,0.0,0.118,0.529,0.235,0.588
Seq_14678,0.176,0.059,0.588,0.059,0.0,0.176,0.529,0.294,0.529
Seq_14679,0.176,0.059,0.588,0.059,0.0,0.176,0.529,0.294,0.529
Seq_14680,0.176,0.059,0.588,0.059,0.0,0.176,0.471,0.294,0.529
Seq_14681,0.176,0.059,0.647,0.059,0.0,0.176,0.529,0.294,0.471
Seq_14682,0.176,0.059,0.588,0.059,0.0,0.176,0.471,0.353,0.471
Seq_14683,0.235,0.059,0.529,0.0,0.0,0.235,0.412,0.353,0.412
Seq_14684,0.235,0.059,0.529,0.0,0.0,0.235,0.471,0.353,0.353
Seq_14685,0.235,0.059,0.529,0.0,0.0,0.235,0.471,0.353,0.412
Seq_14686,0.235,0.059,0.471,0.0,0.0,0.235,0.471,0.353,0.412
Seq_14687,0.235,0.118,0.471,0.0,0.0,0.235,0.529,0.294,0.412
Seq_14688,0.235,0.118,0.471,0.0,0.0,0.235,0.529,0.294,0.412
Seq_14689,0.235,0.118,0.471,0.0,0.0,0.235,0.471,0.294,0.412
Seq_14690,0.235,0.118,0.471,0.0,0.0,0.235,0.471,0.294,0.353
Seq_14691,0.235,0.118,0.471,0.0,0.0,0.235,0.471,0.294,0.353
Seq_14692,0.176,0.118,0.529,0.0,0.059,0.176,0.529,0.235,0.353
Seq_14693,0.176,0.118,0.471,0.0,0.059,0.176,0.471,0.235,0.412
Seq_14694,0.176,0.118,0.471,0.0,0.059,0.176,0.471,0.235,0.412
Seq_14695,0.118,0.118,0.529,0.0,0.059,0.118,0.529,0.176,0.412
Seq_14696,0.176,0.118,0.471,0.0,0.059,0.176,0.471,0.235,0.412
Seq_14697,0.176,0.118,0.471,0.0,0.059,0.176,0.471,0.235,0.412
Seq_14698,0.176,0.118,0.471,0.0,0.059,0.176,0.471,0.235,0.412
Seq_14699,0.176,0.118,0.529,0.0,0.059,0.176,0.529,0.176,0.353
Seq_14700,0.118,0.118,0.588,0.0,0.059,0.118,0.529,0.118,0.412
Seq_14701,0.118,0.118,0.529,0.0,0.059,0.118,0.471,0.118,0.412
Seq_14702,0.118,0.118,0.529,0.0,0.059,0.118,0.471,0.118,0.412
Seq_14703,0.176,0.118,0.529,0.0,0.059,0.176,0.471,0.176,0.353
Seq_14704,0.176,0.059,0.588,0.0,0.059,0.176,0.471,0.176,0.353
Seq_14705,0.235,0.059,0.529,0.0,0.059,0.235,0.412,0.235,0.353
Seq_14706,0.235,0.059,0.529,0.0,0.118,0.235,0.412,0.235,0.294
Seq_14707,0.235,0.059,0.529,0.0,0.118,0.235,0.412,0.235,0.294
Seq_14708,0.235,0.059,0.588,0.0,0.118,0.235,0.471,0.235,0.294
Seq_14709,0.235,0.118,0.529,0.0,0.059,0.235,0.412,0.235,0.353
Seq_14710,0.235,0.118,0.588,0.0,0.059,0.235,0.471,0.235,0.294
Seq_14711,0.176,0.118,0.647,0.0,0.059,0.176,0.529,0.176,0.353
Seq_14712,0.235,0.118,0.588,0.0,0.059,0.235,0.471,0.235,0.353
Seq_14713,0.176,0.118,0.588,0.0,0.059,0.176,0.471,0.176,0.412
